GEOID,median_household_income,rent_burden_35_plus_share,renter_occupied_units,total_housing_units,unemployment_rate_proxy,median_gross_rent,poverty.rate,depression_among_adults,fair_poor_health_status,frequent_mental_distress,high_eviction_risk
01029959600,56862,0.0764192139737991,458,1758,0.0315436241610738,721,13.65,25.2,23.0,17.8,0
01029959700,47442,0.0,344,1606,0.0313152400835073,825,14.75,25.9,27.8,19.1,0
01029959800,54524,0.1589147286821705,258,2192,0.0033840947546531,514,6.69,25.1,21.5,17.2,0
01031010100,50000,0.1163793103448275,232,1086,0.0444664031620553,755,18.38,26.5,26.6,18.9,1
01031010200,62222,0.0140845070422535,71,1029,0.0292682926829268,870,13.54,25.3,25.1,17.8,0
01031010300,73015,0.1604095563139931,293,2043,0.043179587831207,801,8.56,24.6,20.8,16.8,0
01031010400,40329,0.1382113821138211,123,1036,0.0553306342780027,583,11.6,25.4,29.9,19.1,1
01031010500,41960,0.0,321,2241,0.0694864048338368,645,22.8,23.9,30.1,18.7,0
01031010600,48144,0.2096774193548387,124,678,0.1265646731571627,685,16.26,25.9,26.2,17.9,0
01031010700,61379,0.1188811188811188,143,1058,0.0233393177737881,810,9.13,24.9,22.5,17.0,0
01031010800,94020,0.0555555555555555,90,1410,0.0199296600234466,800,6.83,23.8,18.9,15.6,0
01031010900,54157,0.1981981981981982,444,1102,0.0095770151636073,817,30.84,25.9,31.1,20.0,1
01031011000,44520,0.3442982456140351,456,1687,0.0278745644599303,797,10.72,25.1,28.9,19.3,1
01031011100,50294,0.2298288508557457,409,968,0.0552941176470588,792,13.78,24.0,25.2,17.9,0
01031011300,33667,0.3191836734693877,1225,2014,0.0361904761904761,646,42.14,24.7,38.6,21.1,1
01033020100,39918,0.3948717948717948,585,1945,0.0038510911424903,767,25.12,26.6,28.7,20.1,0
01033020200,51250,0.1773700305810397,327,1092,0.0349301397205588,820,16.84,25.2,23.9,18.6,0
01033020300,20729,0.171912832929782,826,1480,0.0634201585503963,737,31.46,26.5,43.0,23.1,0
01033020400,84750,0.0,17,638,0.0809768637532133,-666666666,4.91,23.0,16.3,14.5,0
01033020500,59342,0.3976109215017064,586,2382,0.0161366872330327,701,9.42,25.9,24.8,18.3,1
